CHINESE,DATASCI,FAULTY,NOWATER,NOOIL,OR,WATERALERT,TEMPALERT
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,2,2,2,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,2,2
1,1,1,1,2,1,1,2
2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
2,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
2,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,2,1,1,2,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,2,1
2,1,2,1,1,2,2,1
1,1,1,1,2,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
2,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
2,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,2,1,1,2,1,1,2
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,1,1,1,2,1,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,1,1,1,2,1,2,2
1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,2,1,2,2,2,2,2
2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,2,1,2,2,2
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1
1,1,1,2,1,2,2,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,2,1
1,2,1,1,1,1,1,1
2,1,1,1,1,1,1,1
1,1,1,1,2,1,2,2
1,1,1,1,2,1,1,2
2,1,1,1,2,1,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2
1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
